#rho                  Ec
 2.849176166133222E+00 -1.243938526636956E+13
 2.856324647797420E+00 -1.243980360047262E+13
 2.863509090258468E+00 -1.244021848157362E+13
 2.870729765554517E+00 -1.244062985533012E+13
 2.877986948474557E+00 -1.244103766662992E+13
 2.885280916593277E+00 -1.244144185957904E+13
 2.892611950306460E+00 -1.244184237748946E+13
 2.899980332866905E+00 -1.244223916286654E+13
 2.907386350420919E+00 -1.244263215739640E+13
 2.914830292045349E+00 -1.244302130193292E+13
 2.922312449785204E+00 -1.244340653648455E+13
 2.929833118691838E+00 -1.244378780020095E+13
 2.937392596861744E+00 -1.244416503135926E+13
 2.944991185475935E+00 -1.244453816735025E+13
 2.952629188839945E+00 -1.244490714466415E+13
 2.960306914424451E+00 -1.244527189887623E+13
 2.968024672906536E+00 -1.244563236463214E+13
 2.975782778211590E+00 -1.244598847563294E+13
 2.983581547555878E+00 -1.244634016461994E+13
 2.991421301489777E+00 -1.244668736335912E+13
 2.999302363941689E+00 -1.244703000262546E+13
 3.007225062262666E+00 -1.244736801218679E+13
 3.015189727271728E+00 -1.244770132078746E+13
 3.023196693301911E+00 -1.244802985613167E+13
 3.031246298247051E+00 -1.244835354486648E+13
 3.039338883609315E+00 -1.244867231256457E+13
 3.047474794547494E+00 -1.244898608370655E+13
 3.055654379926078E+00 -1.244929478166309E+13
 3.063877992365124E+00 -1.244959832867661E+13
 3.072145988290921E+00 -1.244989664584267E+13
 3.080458727987492E+00 -1.245018965309099E+13
 3.088816575648928E+00 -1.245047726916615E+13
 3.097219899432569E+00 -1.245075941160787E+13
 3.105669071513072E+00 -1.245103599673096E+13
 3.114164468137347E+00 -1.245130693960490E+13
 3.122706469680416E+00 -1.245157215403294E+13
 3.131295460702179E+00 -1.245183155253094E+13
 3.139931830005125E+00 -1.245208504630570E+13
 3.148615970693005E+00 -1.245233254523290E+13
 3.157348280230476E+00 -1.245257395783465E+13
 3.166129160503735E+00 -1.245280919125657E+13
 3.174959017882186E+00 -1.245303815124441E+13
 3.183838263281117E+00 -1.245326074212032E+13
 3.192767312225454E+00 -1.245347686675850E+13
 3.201746584914578E+00 -1.245368642656051E+13
 3.210776506288240E+00 -1.245388932143005E+13
 3.219857506093600E+00 -1.245408544974723E+13
 3.228990018953401E+00 -1.245427470834235E+13
 3.238174484435311E+00 -1.245445699246919E+13
 3.247411347122448E+00 -1.245463219577771E+13
 3.256701056685119E+00 -1.245480021028631E+13
 3.266044067953790E+00 -1.245496092635341E+13
 3.275440840993319E+00 -1.245511423264857E+13
 3.284891841178474E+00 -1.245526001612301E+13
 3.294397539270759E+00 -1.245539816197952E+13
 3.303958411496581E+00 -1.245552855364176E+13
 3.313574939626780E+00 -1.245565107272298E+13
 3.323247611057555E+00 -1.245576559899411E+13
 3.332976918892807E+00 -1.245587201035114E+13
 3.342763362027938E+00 -1.245597018278193E+13
 3.352607445235123E+00 -1.245605999033227E+13
 3.362509679250104E+00 -1.245614130507130E+13
 3.372470580860515E+00 -1.245621399705623E+13
 3.382490672995792E+00 -1.245627793429625E+13
 3.392570484818680E+00 -1.245633298271584E+13
 3.402710551818395E+00 -1.245637900611717E+13
 3.412911415905445E+00 -1.245641586614188E+13
 3.423173625508175E+00 -1.245644342223194E+13
 3.433497735671054E+00 -1.245646153158977E+13
 3.443884308154745E+00 -1.245647004913749E+13
 3.454333911537999E+00 -1.245646882747537E+13
 3.464847121321407E+00 -1.245645771683937E+13
 3.475424520033056E+00 -1.245643656505779E+13
 3.486066697336123E+00 -1.245640521750702E+13
 3.496774250138456E+00 -1.245636351706635E+13
 3.507547782704171E+00 -1.245631130407185E+13
 3.518387906767336E+00 -1.245624841626921E+13
 3.529295241647746E+00 -1.245617468876567E+13
 3.540270414368884E+00 -1.245608995398080E+13
 3.551314059778064E+00 -1.245599404159636E+13
 3.562426820668855E+00 -1.245588677850497E+13
 3.573609347905788E+00 -1.245576798875776E+13
 3.584862300551436E+00 -1.245563749351083E+13
 3.596186345995892E+00 -1.245549511097058E+13
 3.607582160088714E+00 -1.245534065633786E+13
 3.619050427273388E+00 -1.245517394175087E+13
 3.630591840724357E+00 -1.245499477622685E+13
 3.642207102486688E+00 -1.245480296560246E+13
 3.653896923618422E+00 -1.245459831247289E+13
 3.665662024335683E+00 -1.245438061612956E+13
 3.677503134160585E+00 -1.245414967249654E+13
